epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.001,0.5577151163736979,0.8039,0.4571000149250031,0.828
2,0.0009140576474687263,0.38054066996574404,0.8613,0.40405579466819763,0.8534
3,0.0006890576474687264,0.3250450409809748,0.8822666666666666,0.37614055426120757,0.8608
4,0.0004109423525312737,0.2977173420349757,0.8895166666666666,0.34716026048660276,0.8741
5,0.00018594235253127368,0.2697353989601135,0.9013166666666667,0.3341862255811691,0.8788
6,0.001,0.316901193857193,0.88285,0.37486768412590027,0.8645
7,0.0009140576474687263,0.2874780237833659,0.8931833333333333,0.3569678032875061,0.8705
8,0.0006890576474687264,0.26026920251846314,0.902,0.3336623225212097,0.88
9,0.0004109423525312737,0.23203177227973937,0.9118333333333334,0.3170923495769501,0.8847
10,0.00018594235253127368,0.21104183543125787,0.92065,0.32922869737148286,0.8787
