epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.001,0.5577151163736979,0.8039,0.4571000149250031,0.828
2,0.001,0.38250168215433755,0.85945,0.4018985547065735,0.8553
3,0.001,0.331450248503685,0.8793833333333333,0.3696278049230576,0.865
4,0.001,0.31728984532356264,0.88175,0.3812309084892273,0.8609
5,0.001,0.2951297690709432,0.8902166666666667,0.3513789243221283,0.8732
6,0.001,0.2848793225765228,0.89335,0.3541887383460999,0.8711
7,0.001,0.2662216759522756,0.8996666666666666,0.3420549693822861,0.8809
8,0.001,0.2571187526623408,0.9031666666666667,0.3371020304441452,0.8766
9,0.001,0.24092000102996827,0.9100166666666667,0.3602427709102631,0.8731
10,0.001,0.2380816799124082,0.9094833333333333,0.36052547891139985,0.8711
