epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.001,0.5577151163736979,0.8039,0.4571000149250031,0.828
2,0.001,0.38250168215433755,0.85945,0.4018985547065735,0.8553
3,0.001,0.331450248503685,0.8793833333333333,0.3696278049230576,0.865
4,0.001,0.31728984532356264,0.88175,0.3812309084892273,0.8609
5,0.001,0.2951297690709432,0.8902166666666667,0.3513789243221283,0.8732
6,0.0005,0.256901891374588,0.9028666666666667,0.33040855078697207,0.8807
7,0.0005,0.2447678417523702,0.9079666666666667,0.3347595217704773,0.8794
8,0.0005,0.23628720368941625,0.9102333333333333,0.3226614089012146,0.8836
9,0.0005,0.22648210322062173,0.9142833333333333,0.3291085362911224,0.8819
10,0.0005,0.21907873138984044,0.9174166666666667,0.34222897989749906,0.8767
