epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.01,0.6299814543565114,0.7782333333333333,0.4768901091337204,0.821
2,0.01,0.41877252500851947,0.84765,0.45435683040618896,0.8283
3,0.01,0.3691271974722544,0.8665833333333334,0.3909756968021393,0.8577
4,0.01,0.35214871223767596,0.8700166666666667,0.4217711742401123,0.8468
5,0.01,0.331849409421285,0.8779333333333333,0.3742874819278717,0.8632
6,0.01,0.31858843585650126,0.8819833333333333,0.37267425096035006,0.8654
7,0.01,0.3018229689280192,0.88795,0.36082268714904786,0.8681
8,0.01,0.28964401454925537,0.892,0.3458312333106995,0.8727
9,0.01,0.27620978158315024,0.89695,0.34322549245357514,0.8749
10,0.01,0.27150990974903105,0.8985166666666666,0.35423843812942507,0.8729
