epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.01,0.6299814543565114,0.7782333333333333,0.4768901091337204,0.821
2,0.01,0.41877252500851947,0.84765,0.45435683040618896,0.8283
3,0.01,0.3691271974722544,0.8665833333333334,0.3909756968021393,0.8577
4,0.01,0.35214871223767596,0.8700166666666667,0.4217711742401123,0.8468
5,0.01,0.331849409421285,0.8779333333333333,0.3742874819278717,0.8632
6,0.005,0.2976271784464518,0.8894,0.36114229955673216,0.8705
7,0.005,0.287882942088445,0.8929333333333334,0.35632975885868073,0.8691
8,0.005,0.2804913577715556,0.89515,0.34639292995929716,0.8737
9,0.005,0.27347205028533933,0.8987166666666667,0.3463530081987381,0.8749
10,0.005,0.26757321528593697,0.90015,0.3413684093952179,0.8779
