epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.001,0.3445311573386192,0.8951333333333333,0.14937658023834227,0.955
2,0.0009140576474687263,0.1151067489584287,0.9648166666666667,0.11220177974700928,0.9645
3,0.0006890576474687264,0.0721184353152911,0.9784666666666667,0.096248188829422,0.9686
4,0.0004109423525312737,0.047306882654627166,0.9856166666666667,0.08312150430679321,0.9743
5,0.00018594235253127368,0.03122816001077493,0.9913,0.07340726079940796,0.9778
6,0.001,0.06129354262550672,0.9801333333333333,0.10972188701629638,0.9669
7,0.0009140576474687263,0.04246820130844911,0.9861166666666666,0.12251870837211609,0.9658
8,0.0006890576474687264,0.025527847228447597,0.9918833333333333,0.09838576412200928,0.9723
9,0.0004109423525312737,0.013847164575258891,0.9958166666666667,0.07738676910400391,0.9785
10,0.00018594235253127368,0.006739319097871582,0.9987166666666667,0.07637499947547913,0.9789
