epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.001,0.3445311573386192,0.8951333333333333,0.14937658023834227,0.955
2,0.001,0.11710478019316992,0.9643833333333334,0.11683134245872498,0.9641
3,0.001,0.08261169070005417,0.9747333333333333,0.09414103655815124,0.9688
4,0.001,0.06130432393848896,0.9806,0.09514920248985291,0.9704
5,0.001,0.044653770540157955,0.9858333333333333,0.08889833765029907,0.974
6,0.001,0.03727061324566603,0.9879666666666667,0.09389709577560425,0.9726
7,0.001,0.030262498629341522,0.99035,0.097402103805542,0.9733
8,0.001,0.027771077772974967,0.9906333333333334,0.08967311370372773,0.9761
9,0.001,0.021776332714160282,0.99265,0.09631061792373657,0.9758
10,0.001,0.022215599191188814,0.9923666666666666,0.11284367408752441,0.971
