epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.01,0.4710584477742513,0.8546666666666667,0.19773280119895936,0.9413
2,0.01,0.17022290257612865,0.9482166666666667,0.14692010188102722,0.9552
3,0.01,0.1268575116356214,0.9623166666666667,0.1317512845516205,0.9579
4,0.01,0.10121912607153256,0.9692166666666666,0.11552435388565063,0.9636
5,0.01,0.08381460148493448,0.9742166666666666,0.11328454856872558,0.9641
6,0.01,0.06900763172705968,0.9791666666666666,0.10719630341529846,0.9668
7,0.01,0.060533835597833,0.9815166666666667,0.08663751664161683,0.9716
8,0.01,0.05351337131758531,0.9831333333333333,0.09414589321613312,0.9708
9,0.01,0.044844967869917554,0.98615,0.09188244261741638,0.9718
10,0.01,0.03893925241430601,0.9881833333333333,0.09182444624900818,0.9723
