epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.01,0.4710584477742513,0.8546666666666667,0.19773280119895936,0.9413
2,0.01,0.17022290257612865,0.9482166666666667,0.14692010188102722,0.9552
3,0.01,0.1268575116356214,0.9623166666666667,0.1317512845516205,0.9579
4,0.01,0.10121912607153256,0.9692166666666666,0.11552435388565063,0.9636
5,0.01,0.08381460148493448,0.9742166666666666,0.11328454856872558,0.9641
6,0.005,0.06313799359798432,0.9812166666666666,0.09188087306022644,0.9713
7,0.005,0.05647518256704013,0.9832166666666666,0.08670928506851196,0.9721
8,0.005,0.05185904834071795,0.9849333333333333,0.08742006289958953,0.9728
9,0.005,0.04615131847858429,0.9868,0.09046787128448486,0.9729
10,0.005,0.042128800870974856,0.9879833333333333,0.08491714148521423,0.9741
