epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.003333333333333333,0.6667667565027873,0.7995833333333333,0.28915577511787416,0.9136
2,0.006666666666666666,0.24059000935554503,0.9281666666666667,0.19065523552894592,0.9415
3,0.01,0.16859748324553173,0.9503166666666667,0.155995161151886,0.9511
4,0.01,0.12569226244688034,0.9620666666666666,0.12758150019645692,0.961
5,0.01,0.0971237807194392,0.9709,0.11310029587745667,0.9646
6,0.01,0.07881588590542475,0.9761166666666666,0.1063195065021515,0.967
7,0.01,0.06703512980937958,0.97915,0.09115822110176086,0.9705
8,0.01,0.0578638188580672,0.9823666666666667,0.095191930103302,0.9697
9,0.01,0.04963975218733152,0.98465,0.09304648694992065,0.971
10,0.01,0.042578929962714514,0.9867333333333334,0.10467475500106811,0.968
